Id,Reaction,External ids,template,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,21348.198729817363,13915.508765456008,14995.578137647772,16138.493436973858,17196.024405947635,18001.924895133452,13811.083546438462,14989.229201467964,15956.116577339819,17172.619875771274,17686.606718790536
Thres,,,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249,19.67513757268249
p_value,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Id,Reaction,External ids,template,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,GN_ESCH,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,LN_NEWUOA,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
r108_ATPx,ATP-->ATPex,(kegg:ATP),0.062104375866226746,12.281341283118195,0.6367428182435901,4.742072190342924,5.982130783590094,4.995235294048712,8.788500557314705,0.5988646352906812,5.8920929689065815e-05,5.224412828916229,1.182412600321868,fitting,1.0,1.0,0.0,2000.0,nd,no
r109_OXPHOS,NADH-->{2.3}ATP,(kegg:NADH),161.0346813737157,120.33561954808809,126.24414234221871,144.92687367398116,149.06530204174186,150.8541934312385,118.9761834639521,126.22644304974162,142.6314132984898,148.7704304099687,149.02411483496905,free,0.0,1.0,0.0,1000.0,nd,no
r110_NADPHx,NADPH-->NADPHex,(kegg:NADPH),15.709683938472436,47.46641312439358,8.182392159783872,8.623304675559973,45.04589234843245,17.40977690709365,47.254290078108426,8.17749690250694,8.47109847093703,44.982581894458974,17.190385855508257,fitting,1.0,1.0,0.0,300.0,nd,no
r111_SubsGlc,SubsGlc-->Glc,(kegg:SubsGlc),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,fixed,100.0,1.0,0.0,1000.0,ABCDEF-->ABCDEF,no
r112_g6pc,G6P-->Glc,(kegg:R00303),211.62831932562213,203.890671791321,185.61865025573874,211.62831932562213,203.27594342782913,219.08381686297383,203.9176032724263,185.6191282840975,211.66971068076003,203.2556390663879,219.15583728729337,free,1.0,1.0,0.0,1000.0,ABCDEF-->ABCDEF,no
r113_Glc_ex,Glc-->GlcEx,(kegg:Glc_Ex),112.52630128620466,103.92568046841284,90.44923997414479,111.73386930386428,103.2806915783907,119.20994812493709,103.91760424527313,90.44758418859323,111.7562014916819,103.25709075653694,119.15632676838536,free,2.5,1.0,5.0,200.0,ABCDEF-->ABCDEF,no
r114_phgdh,m3PG-->Ser+NADH,(kegg:R01513),13.605214509540424,3.6342397449855355,6.146888992109467,13.605214509540424,13.979158754425193,2.636344668213809,3.5251107690334402,6.176212731357758,13.450144489061294,13.956593905056941,3.1959629212244707,fitting,1.0,1.0,0.0,100.0,ABC-->ABC,no
r115_SubsR5P,SubsR5P-->R5P,(kegg:SubsR5P),4.819769331125715,2.8886440271532106,2.692272481218198,4.378464355143454,0.9874721543979323,0.0007499769479742716,2.8347851115169056,2.6898903576450404,4.273430105425145,0.9588963137931145,0.0001585674359207034,fitting,1.0,1.0,0.0,5.0,ABCDE-->ABCDE,no
r116_SubsSer,SubsSer-->Ser,(kegg:SubsSer),1.006444838038668,0.015945668816200964,0.04502391453652166,0.10689380494136458,16.89638713361512,17.25451447498952,3.9309862565062303e-07,5.138999981113557e-07,5.419885340529618e-07,16.904337159114647,16.29128898299573,free,1.0,1.0,0.0,20.0,ABC-->ABC,no
r117_SubsLac,SubsLac-->Lac,(kegg:SubsLac),73.667134482574,34.321586533055005,66.14554276935671,73.58519745734664,62.499089310938174,84.68824205549478,34.183111658947304,66.1122617673776,72.55043479795748,62.42105989902898,83.15593293652522,fitting,1.0,1.0,0.0,100.0,ABC-->ABC,no
r118_ldh,Lac-->Pyr+NADH,(kegg:R00703r),243.89868023225694,230.02712384186387,264.74148874938965,271.25596973580616,261.5290453039769,282.58834927494536,230.05233255484916,264.74694666181864,271.2530096768647,261.5329400812862,282.5730121424796,free,1.0,1.0,0.0,1000.0,ABC-->ABC,no
r119_SubsAcCOAmit,SubsAcCOAmit-->AcCOAmit,(kegg:SubsAcCOAmit),50.42728930081466,20.549691791119614,57.43304548538673,63.4629524702239,21.36505034599413,11.250507942690708,20.466548859207833,57.43074790198532,63.316055851456355,21.372012467184827,11.098747897727835,free,1.0,1.0,0.0,100.0,AB-->AB,no
